date,run,ov,vgain,integrator,mask,width,intensity
16/10/2024,30259,"[2.0, 3.5]",2128,0,12,1,2200
16/10/2024,30261,"[2.5, 4.5]",2128,0,50,20,1400
16/10/2024,30263,"[2.5, 4.5]",2128,0,50,20,1800
16/10/2024,30265,"[2.5, 4.5]",2128,0,50,20,2200
16/10/2024,30268,"[2.5, 4.5]",2128,0,50,20,2800
16/10/2024,30270,"[2.5, 4.5]",2128,0,50,20,3400
16/10/2024,30272,"[2.5, 4.5]",2128,0,50,20,4000
16/10/2024,30274,"[2.5, 4.5]",2128,0,1,1,1400
16/10/2024,30276,"[2.5, 4.5]",2128,0,1,1,1500
16/10/2024,30279,"[2.5, 4.5]",2128,0,1,1,1600
16/10/2024,30281,"[2.5, 4.5]",2128,0,1,1,1800
16/10/2024,30283,"[2.5, 4.5]",2128,0,12,1,2000
16/10/2024,30285,"[2.5, 4.5]",2128,0,12,1,2200
16/10/2024,30288,"[3.0, 7.0]",2128,0,50,20,1400
16/10/2024,30290,"[3.0, 7.0]",2128,0,50,20,1800
16/10/2024,30291,"[3.0, 7.0]",2128,0,50,20,2200
16/10/2024,30292,"[3.0, 7.0]",2128,0,50,20,2800
16/10/2024,30293,"[3.0, 7.0]",2128,0,50,20,3400
16/10/2024,30294,"[3.0, 7.0]",2128,0,50,20,4000
16/10/2024,30295,"[3.0, 7.0]",2128,0,1,1,1400
16/10/2024,30296,"[3.0, 7.0]",2128,0,1,1,1500
16/10/2024,30297,"[3.0, 7.0]",2128,0,1,1,1600
16/10/2024,30298,"[3.0, 7.0]",2128,0,1,1,1800
16/10/2024,30299,"[3.0, 7.0]",2128,0,12,1,2000
16/10/2024,30300,"[3.0, 7.0]",2128,0,12,1,2200
16/10/2024,30301,"[2.0, 3.5]",1995,0,50,20,1400
16/10/2024,30302,"[2.0, 3.5]",1995,0,50,20,1800
16/10/2024,30303,"[2.0, 3.5]",1995,0,50,20,2200
16/10/2024,30304,"[2.0, 3.5]",1995,0,50,20,2800
16/10/2024,30305,"[2.0, 3.5]",1995,0,50,20,3400
16/10/2024,30306,"[2.0, 3.5]",1995,0,50,20,4000
16/10/2024,30307,"[2.0, 3.5]",1995,0,1,1,1400
16/10/2024,30308,"[2.0, 3.5]",1995,0,1,1,1500
16/10/2024,30309,"[2.0, 3.5]",1995,0,1,1,1600
16/10/2024,30310,"[2.0, 3.5]",1995,0,1,1,1800
16/10/2024,30311,"[2.0, 3.5]",1995,0,12,1,2000
16/10/2024,30312,"[2.0, 3.5]",1995,0,12,1,2200
16/10/2024,30313,"[2.5, 4.5]",1995,0,50,20,1400
16/10/2024,30314,"[2.5, 4.5]",1995,0,50,20,1800
16/10/2024,30315,"[2.5, 4.5]",1995,0,50,20,2200
16/10/2024,30316,"[2.5, 4.5]",1995,0,50,20,2800
16/10/2024,30317,"[2.5, 4.5]",1995,0,50,20,3400
16/10/2024,30318,"[2.5, 4.5]",1995,0,50,20,4000
16/10/2024,30319,"[2.5, 4.5]",1995,0,1,1,1400
16/10/2024,30320,"[2.5, 4.5]",1995,0,1,1,1500
16/10/2024,30321,"[2.5, 4.5]",1995,0,1,1,1600
16/10/2024,30322,"[2.5, 4.5]",1995,0,1,1,1800
16/10/2024,30323,"[2.5, 4.5]",1995,0,12,1,2000
16/10/2024,30324,"[2.5, 4.5]",1995,0,12,1,2200
16/10/2024,30325,"[3.0, 7.0]",1995,0,50,20,1400
16/10/2024,30326,"[3.0, 7.0]",1995,0,50,20,1800
16/10/2024,30327,"[3.0, 7.0]",1995,0,50,20,2200
16/10/2024,30328,"[3.0, 7.0]",1995,0,50,20,2800
16/10/2024,30331,"[3.0, 7.0]",1995,0,50,20,3400
16/10/2024,30333,"[3.0, 7.0]",1995,0,50,20,4000
16/10/2024,30335,"[3.0, 7.0]",1995,0,1,1,1400
16/10/2024,30337,"[3.0, 7.0]",1995,0,1,1,1500
16/10/2024,30339,"[3.0, 7.0]",1995,0,1,1,1600
16/10/2024,30342,"[3.0, 7.0]",1995,0,1,1,1800
16/10/2024,30344,"[3.0, 7.0]",1995,0,12,1,2000
