Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty
32098,11121,1400,FBK,6.25,155.3,3.32,950,228,249,4672.104303912821,157.3179350336957,5424.30250250196,226.012604270915,3.4809802521992985,0.005713435377942888,0.08627580528247891,0.0030175250371998336,0.9682307018976629,0.0029987596172511566,0.40765733208930754,0.40765733208930754,3.4856464959878704
32099,11121,1500,FBK,6.25,155.3,3.32,950,227,250,3921.3950636376712,144.15334948964468,5200.264444751938,221.33795351338023,3.458859909986107,0.004496813445211023,0.08440944849891946,0.002465265952989723,0.9769925895521683,0.00101234186257404,0.31936870047439303,0.39921087559299107,3.460611807290739
32100,11121,1600,FBK,6.25,155.3,3.32,950,230,250,3606.2522401190386,138.29346045618516,5251.4575104478545,222.51139596838058,3.438646215085739,0.007938828446415025,0.0770799323151819,0.004537378895885527,0.989260471209086,0.0005467178080935109,0.3463178574713819,0.3463178574713819,3.433310032863797
32101,11121,1800,FBK,6.25,155.3,3.32,950,231,249,3381.9061279545353,133.89094576494486,5597.637729028196,229.6738580094156,,,,,,,,,
32110,11121,1400,FBK,6.25,155.3,3.32,1000,229,255,4693.36004091374,158.12331741876736,4706.974277380005,211.13665198325526,3.611715870925544,0.006108747332411069,0.098988282081491,0.0032781987768730897,0.9774460809180348,0.002865865762541331,0.45941364311338795,0.4134722788020495,3.614443349845125
32111,11121,1500,FBK,6.25,155.3,3.32,1000,229,249,3895.9067909381884,143.60502956326857,5043.975941890988,217.8665777795813,3.5902062970094826,0.004311222776862467,0.08946255411668586,0.002495724515700126,0.9769406348912633,0.0010426638534519195,0.47768637397005875,0.47768637397005875,3.592468548134913
32112,11121,1600,FBK,6.25,155.3,3.32,1000,226,251,3155.1386377335743,128.48717807967353,5106.824727077892,217.95396813973875,3.5962928721794745,0.007671512282211079,0.09054828094729171,0.0046540210135598975,0.98998181034863,0.000528853634799098,0.46560749219198305,0.46560749219198305,3.593183820914948
32113,11121,1800,FBK,6.25,155.3,3.32,1000,228,250,3220.7633219685135,130.72675059634443,5140.958478412125,220.21446625963014,,,,,,,,,
32122,11121,1400,FBK,6.25,155.3,3.32,1050,227,247,4329.550936012921,151.3791985219473,4874.126345785804,214.15681672993324,3.7950060292457417,0.005639502319816581,0.09367771047264517,0.0034010070987278637,0.977068098110704,0.0032140820987056617,0.495838644537014,0.40568616371210187,3.798555717892203
32123,11121,1500,FBK,6.25,155.3,3.32,1050,226,251,3626.565066655101,138.56392860512545,4517.764754567912,206.20680546488632,3.7959335638773615,0.003923636130692465,0.09470003039123802,0.0025374206237783123,0.9778757554105093,0.0010558631741469648,0.4771475879469609,0.39762298995580014,3.8080717512491424
32124,11121,1600,FBK,6.25,155.3,3.32,1050,228,251,2945.3945048685887,124.9125506284878,4831.294583525455,213.30686674641834,3.784367671067146,0.0069896003361180625,0.09535261586414308,0.0048635296819549145,0.9891504927667615,0.00055936440899651,0.34927789531781883,0.46570386042375844,3.782523122588766
32125,11121,1800,FBK,6.25,155.3,3.32,1050,232,250,3001.4442505075035,126.04881048996039,4714.790733307495,210.64131548721417,,,,,,,,,
32135,11121,1400,FBK,6.25,155.3,3.32,1100,235,246,4280.46018056131,301.92038222162245,4921.701036797968,431.6617362955378,,,,,,,,0.49957291351826427,4.038975830966416
32136,11121,1500,FBK,6.25,155.3,3.32,1100,224,250,3774.589358559096,141.35948239123562,4799.851825750697,212.54101126358103,4.0206756581195044,0.0037911157629650916,0.09136934583928322,0.002459709959593104,0.9795899640964109,0.0010435273415322355,0.39929848307642146,0.47915817969170593,4.024504667072576
32137,11121,1600,FBK,6.25,155.3,3.32,1100,228,251,2909.1407002455335,124.15909951507942,4691.364723650357,210.22508003978237,4.016202412413857,0.006652662790992636,0.10285515745933158,0.004715549354819541,0.9896994765615349,0.0005479016235694356,0.34712603650604024,0.462834715341387,4.014169039617081
32138,11121,1800,FBK,6.25,155.3,3.32,1100,231,251,2839.2294382156556,122.63603323278039,4397.745099989092,203.50337355993446,,,,,,,,,
32147,11121,1400,FBK,6.25,155.3,3.32,1150,231,247,4415.325367761661,152.8902135191381,4752.974816348818,211.5046033478207,4.238542793459757,0.006846462167966028,0.09151967208837654,0.003932401509921531,0.9779080265234976,0.0041130098209925525,0.36311549732577664,0.40850493449149816,4.252679611672284
32148,11121,1500,FBK,6.25,155.3,3.32,1150,226,252,3707.6285758304402,141.1470076295441,4938.72843466496,217.20502820447768,4.238782219967331,0.004527602127463393,0.0949807378393111,0.002587354836723281,0.9808392707669824,0.0010406854012321443,0.39757918621408717,0.39757918621408717,4.253012380982141
32149,11121,1600,FBK,6.25,155.3,3.32,1150,228,251,3110.0548400352536,128.14757719770307,4571.504869563232,207.1546594233933,4.230998421316732,0.006833637847180718,0.0915751993180571,0.003958909632331142,0.9895895785772955,0.0005517701167668809,0.3502733353483034,0.3502733353483034,4.244744829824035
32150,11121,1800,FBK,6.25,155.3,3.32,1150,233,251,2595.514950166113,117.25341347919063,4331.743771705803,201.96859475903466,,,,,,,,,
